# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,227,0:04.342.426,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,228,0:04.342.498,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 FF 04 BA 04 75 00 00 00*
0,229,0:04.358.816,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,230,0:04.358.887,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,231,0:04.358.938,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,232,0:04.359.010,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 20 05 D9 04 70 00 00 00*
0,233,0:04.375.405,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,234,0:04.375.477,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,235,0:04.375.528,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,236,0:04.375.599,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 41 05 F8 04 70 00 00 00*
0,237,0:04.393.372,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,238,0:04.393.443,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,239,0:04.393.494,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,240,0:04.393.566,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 6A 05 1F 05 70 00 00 00*
0,241,0:04.409.906,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,242,0:04.409.977,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,243,0:04.410.028,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,244,0:04.410.100,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 8E 05 43 05 70 00 00 00*
0,245,0:04.426.372,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,246,0:04.426.443,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,247,0:04.426.494,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,248,0:04.426.566,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 B8 05 6F 05 76 00 00 00*
0,249,0:04.442.887,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,250,0:04.442.959,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,251,0:04.443.010,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,252,0:04.443.081,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 E0 05 97 05 76 00 00 00*
0,253,0:04.459.382,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,254,0:04.459.453,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,255,0:04.459.504,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,256,0:04.459.576,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 00 06 BB 05 69 00 00 00*
0,257,0:04.475.861,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,258,0:04.475.933,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,259,0:04.475.984,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,260,0:04.476.055,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 23 06 E1 05 72 00 00 00*
0,261,0:04.492.354,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,262,0:04.492.425,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,263,0:04.492.476,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,264,0:04.492.548,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 47 06 09 06 72 00 00 00*
0,265,0:04.508.824,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,266,0:04.508.896,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,267,0:04.508.947,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,268,0:04.509.018,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 65 06 2C 06 72 00 00 00*
0,269,0:04.525.328,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,270,0:04.525.399,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,271,0:04.525.450,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,272,0:04.525.522,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 84 06 52 06 72 00 00 00*
