# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,277,0:08.080.415,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,278,0:08.080.487,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,279,0:08.080.538,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,280,0:08.080.609,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 B4 00 23 0F 4A 00 00 00*
0,281,0:08.096.879,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,282,0:08.096.950,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,283,0:08.097.001,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,284,0:08.097.073,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 B9 00 22 0F 4A 00 00 00*
0,285,0:08.113.343,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,286,0:08.113.414,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,287,0:08.113.465,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,288,0:08.113.536,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 BF 00 1F 0F 4A 00 00 00*
0,289,0:08.129.905,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,290,0:08.129.976,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,291,0:08.130.027,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,292,0:08.130.098,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 C4 00 1E 0F 4A 00 00 00*
0,293,0:08.146.300,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,294,0:08.146.372,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,295,0:08.146.423,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,296,0:08.146.494,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 CA 00 1C 0F 4A 00 00 00*
0,297,0:08.162.774,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,298,0:08.162.845,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,299,0:08.162.896,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,300,0:08.162.968,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 D0 00 1A 0F 4A 00 00 00*
0,301,0:08.179.240,70.100 us,2 B,,SP,4B,Write Transaction,82 01
