# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,119,0:05.571.880,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,120,0:05.571.951,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 22 02 FA 0E 5F 00 00 00*
0,121,0:05.588.176,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,122,0:05.588.247,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,123,0:05.588.298,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,124,0:05.588.370,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 32 02 EF 0E 5F 00 00 00*
0,125,0:05.604.680,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,126,0:05.604.751,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,127,0:05.604.802,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,128,0:05.604.874,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 42 02 E4 0E 5F 00 00 00*
0,129,0:05.621.188,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,130,0:05.621.259,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,131,0:05.621.310,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,132,0:05.621.382,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 50 02 D8 0E 5F 00 00 00*
0,133,0:05.637.691,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,134,0:05.637.762,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,135,0:05.637.813,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,136,0:05.637.885,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 5F 02 CB 0E 5F 00 00 00*
0,137,0:05.655.791,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,138,0:05.655.863,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,139,0:05.655.914,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,140,0:05.655.985,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 6E 02 BD 0E 5F 00 00 00*
0,141,0:05.672.315,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,142,0:05.672.386,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,143,0:05.672.437,70.100 us,2 B,,SP,4B,Write Transaction,82 01
